Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1323863,-,-,-,43.21,-71.54,0,89,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,GHI,Relative Humidity
2022,1,1,0,30,1.8,0,97.94
2022,1,1,1,30,1.7000000000000002,0,98.78
2022,1,1,2,30,1.7000000000000002,0,98.35000000000001
2022,1,1,3,30,1.7000000000000002,0,97.54
2022,1,1,4,30,1.6,0,97.48
2022,1,1,5,30,1.5,0,97.48
2022,1,1,6,30,1.5,0,96.60000000000001
2022,1,1,7,30,1.4000000000000001,0,97.04
2022,1,1,8,30,1.5,0,96.69
2022,1,1,9,30,1.5,0,97.06
2022,1,1,10,30,1.5,0,97.25
2022,1,1,11,30,1.6,0,97.45
2022,1,1,12,30,1.9000000000000001,6,96.54
2022,1,1,13,30,2.4000000000000004,58,95.44
2022,1,1,14,30,2.8000000000000003,93,95.77
2022,1,1,15,30,3.1,111,95.89
2022,1,1,16,30,3.2,146,97.17
2022,1,1,17,30,3.1,134,98.38
2022,1,1,18,30,3,186,99.01
2022,1,1,19,30,2.7,82,100
2022,1,1,20,30,2.3000000000000003,29,100
2022,1,1,21,30,2.2,0,100
2022,1,1,22,30,2.2,0,100
2022,1,1,23,30,2.2,0,100
2022,1,2,0,30,2.2,0,99.26
2022,1,2,1,30,2.2,0,98.96000000000001
2022,1,2,2,30,2.1,0,98.96000000000001
2022,1,2,3,30,1.9000000000000001,0,98.94
2022,1,2,4,30,1.7000000000000002,0,98.74000000000001
2022,1,2,5,30,1.6,0,98.26
2022,1,2,6,30,1.6,0,97.94
2022,1,2,7,30,1.7000000000000002,0,95.99000000000001
2022,1,2,8,30,1.8,0,96.47
2022,1,2,9,30,1.8,0,96.22
2022,1,2,10,30,1.8,0,95.89
2022,1,2,11,30,1.9000000000000001,0,95.41
2022,1,2,12,30,2,5,95.05
2022,1,2,13,30,2.1,46,94.79
2022,1,2,14,30,2.2,166,95.01
2022,1,2,15,30,2.3000000000000003,193,94.57000000000001
2022,1,2,16,30,2.3000000000000003,189,95.12
2022,1,2,17,30,2.2,142,95.19
2022,1,2,18,30,1.8,159,95.87
2022,1,2,19,30,1.3,211,95.75
2022,1,2,20,30,0.6000000000000001,82,96.08
2022,1,2,21,30,-0.30000000000000004,0,96.04
2022,1,2,22,30,-1.3,0,96.01
2022,1,2,23,30,-2.4000000000000004,0,93.51
2022,1,3,0,30,-3.4000000000000004,0,89.79
2022,1,3,1,30,-4.4,0,86.45
2022,1,3,2,30,-5.4,0,84.54
2022,1,3,3,30,-6.2,0,82.03
2022,1,3,4,30,-7,0,79.77
2022,1,3,5,30,-7.5,0,77.77
2022,1,3,6,30,-8,0,77.19
2022,1,3,7,30,-8.3,0,75.67
2022,1,3,8,30,-8.3,0,73.75
2022,1,3,9,30,-8.4,0,72.33
2022,1,3,10,30,-8.700000000000001,0,71.3
2022,1,3,11,30,-9.1,0,69.48
2022,1,3,12,30,-9,11,65.69
2022,1,3,13,30,-8.4,56,63.25
2022,1,3,14,30,-7.9,113,60.97
2022,1,3,15,30,-7.5,162,59.550000000000004
2022,1,3,16,30,-7.300000000000001,225,59.51
2022,1,3,17,30,-7.300000000000001,220,60.61
2022,1,3,18,30,-7.300000000000001,163,61.45
2022,1,3,19,30,-7.5,124,62.84
2022,1,3,20,30,-7.9,41,64.71000000000001
2022,1,3,21,30,-8.1,0,65.98
2022,1,3,22,30,-8.200000000000001,0,66.84
2022,1,3,23,30,-8.5,0,68.2
2022,1,4,0,30,-8.9,0,68.92
2022,1,4,1,30,-9.3,0,68.73
2022,1,4,2,30,-9.8,0,68.65
2022,1,4,3,30,-10.600000000000001,0,69.45
2022,1,4,4,30,-11.700000000000001,0,70
2022,1,4,5,30,-13,0,69.77
2022,1,4,6,30,-13.9,0,70.34
2022,1,4,7,30,-14.3,0,70.36
2022,1,4,8,30,-14.4,0,69.9
2022,1,4,9,30,-14.3,0,68.9
2022,1,4,10,30,-14.100000000000001,0,68.83
2022,1,4,11,30,-13.9,0,69.46000000000001
2022,1,4,12,30,-12.8,17,64.76
2022,1,4,13,30,-10.100000000000001,151,53.13
2022,1,4,14,30,-7.2,286,50.44
2022,1,4,15,30,-5,382,49.7
2022,1,4,16,30,-3.3000000000000003,428,50.28
2022,1,4,17,30,-2.3000000000000003,420,53.35
2022,1,4,18,30,-1.9000000000000001,354,57.76
2022,1,4,19,30,-2.4000000000000004,242,64.58
2022,1,4,20,30,-4.4,103,77.86
2022,1,4,21,30,-6,1,83.02
2022,1,4,22,30,-6.4,0,82.94
2022,1,4,23,30,-6.7,0,84.60000000000001
2022,1,5,0,30,-7,0,86.02
2022,1,5,1,30,-7.2,0,86.57000000000001
2022,1,5,2,30,-7.300000000000001,0,86.32000000000001
2022,1,5,3,30,-7.2,0,85.17
2022,1,5,4,30,-7.1000000000000005,0,84.77
2022,1,5,5,30,-7.1000000000000005,0,85.60000000000001
2022,1,5,6,30,-7.2,0,86.66
2022,1,5,7,30,-7,0,86.23
2022,1,5,8,30,-6.7,0,87.86
2022,1,5,9,30,-6.6000000000000005,0,90.22
2022,1,5,10,30,-6,0,89.59
2022,1,5,11,30,-4.9,0,87.87
2022,1,5,12,30,-3.4000000000000004,7,85.9
2022,1,5,13,30,-1.5,51,84.48
2022,1,5,14,30,0.7000000000000001,116,84.99
2022,1,5,15,30,2.4000000000000004,75,89.51
2022,1,5,16,30,3.3000000000000003,83,92.60000000000001
2022,1,5,17,30,3.9000000000000004,116,94.16
2022,1,5,18,30,4.1000000000000005,65,96.37
2022,1,5,19,30,4.2,63,97.18
2022,1,5,20,30,4.1000000000000005,25,97.56
2022,1,5,21,30,4,1,97.44
2022,1,5,22,30,3.8000000000000003,0,98.35000000000001
2022,1,5,23,30,3.3000000000000003,0,100
2022,1,6,0,30,2.8000000000000003,0,99.78
2022,1,6,1,30,2.5,0,98.71000000000001
2022,1,6,2,30,2,0,99.86
2022,1,6,3,30,1.6,0,98.9
2022,1,6,4,30,1.3,0,98.47
2022,1,6,5,30,1,0,97.86
2022,1,6,6,30,0.9,0,96.71000000000001
2022,1,6,7,30,0.8,0,96.4
2022,1,6,8,30,0.5,0,96.96000000000001
2022,1,6,9,30,0.2,0,96.19
2022,1,6,10,30,-0.2,0,96.17
2022,1,6,11,30,-0.8,0,95.45
2022,1,6,12,30,-1.2000000000000002,17,89.74
2022,1,6,13,30,-0.8,146,81.66
2022,1,6,14,30,0,279,71.66
2022,1,6,15,30,0.6000000000000001,339,63.75
2022,1,6,16,30,1,340,60.65
2022,1,6,17,30,1,317,60.38
2022,1,6,18,30,0.6000000000000001,149,61.67
2022,1,6,19,30,-0.2,211,64.68
2022,1,6,20,30,-1.3,83,69.83
2022,1,6,21,30,-2,1,73.71000000000001
2022,1,6,22,30,-2.4000000000000004,0,76.53
2022,1,6,23,30,-2.8000000000000003,0,80.46000000000001
2022,1,7,0,30,-2.8000000000000003,0,80.9
2022,1,7,1,30,-2.5,0,79.31
2022,1,7,2,30,-2.4000000000000004,0,80.60000000000001
2022,1,7,3,30,-2.5,0,81.83
2022,1,7,4,30,-2.6,0,81.34
2022,1,7,5,30,-2.6,0,80.86
2022,1,7,6,30,-2.7,0,81.58
2022,1,7,7,30,-2.9000000000000004,0,82.72
2022,1,7,8,30,-3.1,0,83.99
2022,1,7,9,30,-3.3000000000000003,0,85.96000000000001
2022,1,7,10,30,-3.5,0,87.86
2022,1,7,11,30,-3.5,0,88.43
2022,1,7,12,30,-3.3000000000000003,6,87.62
2022,1,7,13,30,-3,18,87.14
2022,1,7,14,30,-2.9000000000000004,43,85.95
2022,1,7,15,30,-2.9000000000000004,55,84.65
2022,1,7,16,30,-2.7,56,83.11
2022,1,7,17,30,-2.5,81,83.3
2022,1,7,18,30,-2.3000000000000003,95,83.35000000000001
2022,1,7,19,30,-2.4000000000000004,40,84.24
2022,1,7,20,30,-2.8000000000000003,41,85.08
2022,1,7,21,30,-3.4000000000000004,1,84.96000000000001
2022,1,7,22,30,-4.1000000000000005,0,83.66
2022,1,7,23,30,-5,0,82.19
2022,1,8,0,30,-5.800000000000001,0,79.72
2022,1,8,1,30,-6.6000000000000005,0,78.05
2022,1,8,2,30,-7.2,0,76.55
2022,1,8,3,30,-7.800000000000001,0,75.24
2022,1,8,4,30,-8.5,0,74.52
2022,1,8,5,30,-9.3,0,74.49
2022,1,8,6,30,-10.100000000000001,0,74.11
2022,1,8,7,30,-10.700000000000001,0,72.87
2022,1,8,8,30,-11.200000000000001,0,72.19
2022,1,8,9,30,-11.700000000000001,0,72.63
2022,1,8,10,30,-12.200000000000001,0,73.27
2022,1,8,11,30,-12.700000000000001,0,73.2
2022,1,8,12,30,-12.5,17,68.87
2022,1,8,13,30,-11.100000000000001,162,64.74
2022,1,8,14,30,-9.5,304,61.83
2022,1,8,15,30,-7.800000000000001,407,59.29
2022,1,8,16,30,-6.5,457,58.51
2022,1,8,17,30,-5.6000000000000005,450,58.51
2022,1,8,18,30,-5.2,386,59.38
2022,1,8,19,30,-5.800000000000001,272,63.61
2022,1,8,20,30,-7.5,123,67.42
2022,1,8,21,30,-8.8,1,68.39
2022,1,8,22,30,-8.9,0,63.54
2022,1,8,23,30,-9.1,0,61.74
2022,1,9,0,30,-9.5,0,63.31
2022,1,9,1,30,-10,0,65.7
2022,1,9,2,30,-10.700000000000001,0,70.65
2022,1,9,3,30,-10.700000000000001,0,70.87
2022,1,9,4,30,-9.9,0,68.34
2022,1,9,5,30,-8.8,0,68.33
2022,1,9,6,30,-7.9,0,70.64
2022,1,9,7,30,-7.300000000000001,0,72.84
2022,1,9,8,30,-6.9,0,74.5
2022,1,9,9,30,-6.6000000000000005,0,76.9
2022,1,9,10,30,-6.1000000000000005,0,79.10000000000001
2022,1,9,11,30,-5.5,0,80.9
2022,1,9,12,30,-4.6000000000000005,6,80.7
2022,1,9,13,30,-3.3000000000000003,70,79.72
2022,1,9,14,30,-2.1,102,80.93
2022,1,9,15,30,-0.8,201,82.4
2022,1,9,16,30,0.30000000000000004,207,83.42
2022,1,9,17,30,0.9,244,85.11
2022,1,9,18,30,1,149,87.38
2022,1,9,19,30,0.9,94,89.08
2022,1,9,20,30,0.7000000000000001,86,90.89
2022,1,9,21,30,0.6000000000000001,2,91.67
2022,1,9,22,30,0.7000000000000001,0,92.01
2022,1,9,23,30,0.8,0,92.92
2022,1,10,0,30,1,0,93.07000000000001
2022,1,10,1,30,1.2000000000000002,0,93.28
2022,1,10,2,30,1.3,0,93.55
2022,1,10,3,30,1.1,0,93.60000000000001
2022,1,10,4,30,0.30000000000000004,0,92.58
2022,1,10,5,30,-1.2000000000000002,0,87.85000000000001
2022,1,10,6,30,-2.8000000000000003,0,79.37
2022,1,10,7,30,-3.9000000000000004,0,72.60000000000001
2022,1,10,8,30,-4.7,0,70.4
2022,1,10,9,30,-5.5,0,69.38
2022,1,10,10,30,-6.6000000000000005,0,69.37
2022,1,10,11,30,-7.9,0,71.66
2022,1,10,12,30,-8.1,20,64.89
2022,1,10,13,30,-6.9,160,61.35
2022,1,10,14,30,-5.800000000000001,302,60.31
2022,1,10,15,30,-5.300000000000001,367,60.300000000000004
2022,1,10,16,30,-5,458,59.96
2022,1,10,17,30,-5,450,60.27
2022,1,10,18,30,-5.1000000000000005,345,61.33
2022,1,10,19,30,-5.4,168,63.5
2022,1,10,20,30,-6.2,117,68.65
2022,1,10,21,30,-7.300000000000001,6,72.16
2022,1,10,22,30,-7.9,0,73.77
2022,1,10,23,30,-8.1,0,75.08
2022,1,11,0,30,-8.200000000000001,0,76.31
2022,1,11,1,30,-8.5,0,77.38
2022,1,11,2,30,-8.9,0,76.92
2022,1,11,3,30,-9.4,0,76.41
2022,1,11,4,30,-10,0,75.61
2022,1,11,5,30,-10.8,0,73.69
2022,1,11,6,30,-11.8,0,71.64
2022,1,11,7,30,-13,0,68.51
2022,1,11,8,30,-14.3,0,65.97
2022,1,11,9,30,-15.600000000000001,0,65.34
2022,1,11,10,30,-16.900000000000002,0,64.66
2022,1,11,11,30,-18,0,63.85
2022,1,11,12,30,-18.3,21,60.47
2022,1,11,13,30,-18,167,57.050000000000004
2022,1,11,14,30,-17.1,313,53.410000000000004
2022,1,11,15,30,-16,421,51.1
2022,1,11,16,30,-15,474,50.31
2022,1,11,17,30,-14.200000000000001,468,50.27
2022,1,11,18,30,-13.9,404,51.9
2022,1,11,19,30,-14.200000000000001,288,55.050000000000004
2022,1,11,20,30,-15.600000000000001,134,59.26
2022,1,11,21,30,-16.900000000000002,7,60.32
2022,1,11,22,30,-17.3,0,64.31
2022,1,11,23,30,-17.400000000000002,0,64.75
2022,1,12,0,30,-17.400000000000002,0,64.41
2022,1,12,1,30,-17.5,0,64.63
2022,1,12,2,30,-17.7,0,66.74
2022,1,12,3,30,-17.900000000000002,0,67.43
2022,1,12,4,30,-18.1,0,68.46000000000001
2022,1,12,5,30,-18,0,69.21000000000001
2022,1,12,6,30,-17.400000000000002,0,67.7
2022,1,12,7,30,-16.5,0,65.47
2022,1,12,8,30,-15.600000000000001,0,65.84
2022,1,12,9,30,-15.4,0,70.38
2022,1,12,10,30,-15.5,0,72.88
2022,1,12,11,30,-15,0,73.09
2022,1,12,12,30,-12.9,16,68.8
2022,1,12,13,30,-9.8,88,67.77
2022,1,12,14,30,-6.9,136,67.23
2022,1,12,15,30,-4.5,319,66.19
2022,1,12,16,30,-2.8000000000000003,413,66.17
2022,1,12,17,30,-1.8,437,68.35000000000001
2022,1,12,18,30,-1.5,254,72.61
2022,1,12,19,30,-1.9000000000000001,106,79.29
2022,1,12,20,30,-3,41,87.7
2022,1,12,21,30,-3.7,4,88.77
2022,1,12,22,30,-3.6,0,88.94
2022,1,12,23,30,-3.8000000000000003,0,90.64
2022,1,13,0,30,-4.1000000000000005,0,92.69
2022,1,13,1,30,-4.6000000000000005,0,94.99
2022,1,13,2,30,-5.1000000000000005,0,95
2022,1,13,3,30,-5.2,0,93.12
2022,1,13,4,30,-5.300000000000001,0,93.31
2022,1,13,5,30,-5.6000000000000005,0,94.51
2022,1,13,6,30,-6,0,96.01
2022,1,13,7,30,-6.1000000000000005,0,95.37
2022,1,13,8,30,-5.9,0,94.01
2022,1,13,9,30,-5.4,0,91.73
2022,1,13,10,30,-4.800000000000001,0,89.18
2022,1,13,11,30,-4.6000000000000005,0,88.54
2022,1,13,12,30,-4,8,84.37
2022,1,13,13,30,-2.7,54,81.73
2022,1,13,14,30,-1,80,77.23
2022,1,13,15,30,0.7000000000000001,103,74.34
2022,1,13,16,30,1.9000000000000001,134,72.9
2022,1,13,17,30,2.6,218,72.38
2022,1,13,18,30,2.8000000000000003,216,73.82000000000001
2022,1,13,19,30,2.2,154,81.65
2022,1,13,20,30,0.5,123,89.69
2022,1,13,21,30,-1,5,85.34
2022,1,13,22,30,-1.6,0,86.92
2022,1,13,23,30,-1.7000000000000002,0,87.7
2022,1,14,0,30,-1.8,0,89.76
2022,1,14,1,30,-2.1,0,92.52
2022,1,14,2,30,-2.2,0,94.04
2022,1,14,3,30,-2,0,94.41
2022,1,14,4,30,-2.1,0,96.85000000000001
2022,1,14,5,30,-2.9000000000000004,0,100
2022,1,14,6,30,-3.3000000000000003,0,100
2022,1,14,7,30,-3.3000000000000003,0,98.76
2022,1,14,8,30,-3.4000000000000004,0,97.27
2022,1,14,9,30,-3.4000000000000004,0,94.27
2022,1,14,10,30,-3.2,0,91.65
2022,1,14,11,30,-3,0,90.48
2022,1,14,12,30,-2.5,9,86.91
2022,1,14,13,30,-1.5,59,85.27
2022,1,14,14,30,-0.6000000000000001,157,83.82000000000001
2022,1,14,15,30,0.1,245,82.35000000000001
2022,1,14,16,30,0.30000000000000004,236,80.19
2022,1,14,17,30,0,306,79.64
2022,1,14,18,30,-0.8,189,80.35000000000001
2022,1,14,19,30,-2.1,126,80.47
2022,1,14,20,30,-3.8000000000000003,85,80.57000000000001
2022,1,14,21,30,-5.6000000000000005,6,78.88
2022,1,14,22,30,-7.4,0,76.58
2022,1,14,23,30,-9.1,0,74.10000000000001
2022,1,15,0,30,-10.8,0,72.22
2022,1,15,1,30,-12.600000000000001,0,71.14
2022,1,15,2,30,-14.100000000000001,0,69.03
2022,1,15,3,30,-15.3,0,67.26
2022,1,15,4,30,-16.2,0,65.94
2022,1,15,5,30,-17,0,65.15
2022,1,15,6,30,-17.7,0,64.14
2022,1,15,7,30,-18.400000000000002,0,63.58
2022,1,15,8,30,-19.1,0,63.690000000000005
2022,1,15,9,30,-19.700000000000003,0,63.56
2022,1,15,10,30,-20.3,0,63.4
2022,1,15,11,30,-20.8,0,62.910000000000004
2022,1,15,12,30,-20.8,21,60.25
2022,1,15,13,30,-20,176,55.88
2022,1,15,14,30,-18.8,324,51.95
2022,1,15,15,30,-17.6,434,50.01
2022,1,15,16,30,-16.6,490,49.550000000000004
2022,1,15,17,30,-15.8,486,49.74
2022,1,15,18,30,-15.5,423,51.43
2022,1,15,19,30,-15.700000000000001,306,54.44
2022,1,15,20,30,-16.5,154,58.74
2022,1,15,21,30,-17.5,10,62.36
2022,1,15,22,30,-18.400000000000002,0,64.26
2022,1,15,23,30,-19.1,0,64.27
2022,1,16,0,30,-19.700000000000003,0,64.32000000000001
2022,1,16,1,30,-20.400000000000002,0,65.09
2022,1,16,2,30,-20.8,0,63.9
2022,1,16,3,30,-21.1,0,64.86
2022,1,16,4,30,-21.3,0,65.57000000000001
2022,1,16,5,30,-21.400000000000002,0,66.54
2022,1,16,6,30,-21.5,0,68.12
2022,1,16,7,30,-21.400000000000002,0,68.45
2022,1,16,8,30,-21.400000000000002,0,69.49
2022,1,16,9,30,-21.400000000000002,0,70.44
2022,1,16,10,30,-21.400000000000002,0,71.13
2022,1,16,11,30,-21.1,0,70.2
2022,1,16,12,30,-19.400000000000002,26,61.86
2022,1,16,13,30,-16.3,172,52.28
2022,1,16,14,30,-12.700000000000001,317,47.54
2022,1,16,15,30,-9.4,425,43.71
2022,1,16,16,30,-7,481,42.87
2022,1,16,17,30,-5.5,477,45.32
2022,1,16,18,30,-5.1000000000000005,416,48.22
2022,1,16,19,30,-6.2,302,56.09
2022,1,16,20,30,-9.1,148,78.79
2022,1,16,21,30,-11.4,8,78.02
2022,1,16,22,30,-11.9,0,76.91
2022,1,16,23,30,-11.700000000000001,0,76.5
2022,1,17,0,30,-10.9,0,74.09
2022,1,17,1,30,-9.8,0,74.08
2022,1,17,2,30,-9.1,0,77.5
2022,1,17,3,30,-8.4,0,81.32000000000001
2022,1,17,4,30,-7,0,82.81
2022,1,17,5,30,-5.300000000000001,0,84.8
2022,1,17,6,30,-4,0,87.72
2022,1,17,7,30,-2.8000000000000003,0,89.25
2022,1,17,8,30,-1.6,0,90.41
2022,1,17,9,30,-0.6000000000000001,0,91.52
2022,1,17,10,30,0.4,0,91.59
2022,1,17,11,30,1,0,92.91
2022,1,17,12,30,1.4000000000000001,7,93.48
2022,1,17,13,30,1.8,107,92.36
2022,1,17,14,30,2.6,138,90.72
2022,1,17,15,30,3.5,179,92.60000000000001
2022,1,17,16,30,3.9000000000000004,254,96.55
2022,1,17,17,30,3.6,394,92.29
2022,1,17,18,30,3.2,393,87.63
2022,1,17,19,30,2.6,280,89.8
2022,1,17,20,30,1.8,138,92.77
2022,1,17,21,30,1.2000000000000002,9,93.83
2022,1,17,22,30,0.9,0,94.03
2022,1,17,23,30,0.7000000000000001,0,94.63
2022,1,18,0,30,0.4,0,95.79
2022,1,18,1,30,0.2,0,95.85000000000001
2022,1,18,2,30,-0.2,0,95.91
2022,1,18,3,30,-0.8,0,94.7
2022,1,18,4,30,-1.7000000000000002,0,94.02
2022,1,18,5,30,-2.8000000000000003,0,90.72
2022,1,18,6,30,-3.9000000000000004,0,86.77
2022,1,18,7,30,-4.800000000000001,0,82.92
2022,1,18,8,30,-5.4,0,80.45
2022,1,18,9,30,-6,0,79.51
2022,1,18,10,30,-6.6000000000000005,0,78.14
2022,1,18,11,30,-7.2,0,76.83
2022,1,18,12,30,-7.4,24,73.95
2022,1,18,13,30,-7.1000000000000005,134,70.18
2022,1,18,14,30,-6.7,305,67.65
2022,1,18,15,30,-6.300000000000001,428,66.07000000000001
2022,1,18,16,30,-6.1000000000000005,412,65.36
2022,1,18,17,30,-6.4,313,65.41
2022,1,18,18,30,-7,292,65.15
2022,1,18,19,30,-7.9,306,65.89
2022,1,18,20,30,-9,160,67.7
2022,1,18,21,30,-10,18,69.29
2022,1,18,22,30,-10.8,0,70.34
2022,1,18,23,30,-11.700000000000001,0,71.65
2022,1,19,0,30,-12.600000000000001,0,72.51
2022,1,19,1,30,-13.700000000000001,0,73.75
2022,1,19,2,30,-14.600000000000001,0,73.06
2022,1,19,3,30,-15.100000000000001,0,72.52
2022,1,19,4,30,-15,0,70.83
2022,1,19,5,30,-14.4,0,69.39
2022,1,19,6,30,-13.4,0,66.58
2022,1,19,7,30,-12.5,0,64.89
2022,1,19,8,30,-12,0,64.81
2022,1,19,9,30,-12,0,67.28
2022,1,19,10,30,-11.9,0,69.29
2022,1,19,11,30,-11.3,0,70.45
2022,1,19,12,30,-10,12,70.35000000000001
2022,1,19,13,30,-8.200000000000001,57,69.89
2022,1,19,14,30,-6,177,69.03
2022,1,19,15,30,-2.9000000000000004,341,67.94
2022,1,19,16,30,-0.2,418,71.65
2022,1,19,17,30,1.5,296,75.92
2022,1,19,18,30,2.2,62,80.38
2022,1,19,19,30,2.2,157,85.25
2022,1,19,20,30,1.7000000000000002,69,90.45
2022,1,19,21,30,1.1,9,93.82000000000001
2022,1,19,22,30,0.9,0,94.39
2022,1,19,23,30,0.9,0,94.21000000000001
2022,1,20,0,30,0.9,0,94.74
2022,1,20,1,30,0.8,0,95.68
2022,1,20,2,30,0.8,0,95.63
2022,1,20,3,30,1,0,94.52
2022,1,20,4,30,0.9,0,96.25
2022,1,20,5,30,0.6000000000000001,0,97.49000000000001
2022,1,20,6,30,0.4,0,97.18
2022,1,20,7,30,0.6000000000000001,0,95.83
2022,1,20,8,30,0.8,0,94.53
2022,1,20,9,30,0.6000000000000001,0,94.34
2022,1,20,10,30,0,0,94.96000000000001
2022,1,20,11,30,-0.6000000000000001,0,93.53
2022,1,20,12,30,-1.2000000000000002,11,90.61
2022,1,20,13,30,-1.9000000000000001,52,88.64
2022,1,20,14,30,-2.7,110,85.71000000000001
2022,1,20,15,30,-3.3000000000000003,155,79.51
2022,1,20,16,30,-3.7,461,71.45
2022,1,20,17,30,-4,481,65.09
2022,1,20,18,30,-4.5,425,62.2
2022,1,20,19,30,-5.5,314,63.26
2022,1,20,20,30,-7.1000000000000005,166,67.2
2022,1,20,21,30,-9,20,71.55
2022,1,20,22,30,-10.5,0,71.7
2022,1,20,23,30,-11.5,0,70.36
2022,1,21,0,30,-12.200000000000001,0,69.31
2022,1,21,1,30,-12.700000000000001,0,68.64
2022,1,21,2,30,-13.3,0,69.01
2022,1,21,3,30,-13.9,0,69.03
2022,1,21,4,30,-14.4,0,68.45
2022,1,21,5,30,-15,0,68.31
2022,1,21,6,30,-15.8,0,68.65
2022,1,21,7,30,-16.7,0,69.15
2022,1,21,8,30,-17.7,0,69.44
2022,1,21,9,30,-18.6,0,68.91
2022,1,21,10,30,-19.200000000000003,0,68.15
2022,1,21,11,30,-19.400000000000002,0,66.65
2022,1,21,12,30,-18.3,19,59.19
2022,1,21,13,30,-15.9,190,51.75
2022,1,21,14,30,-13.600000000000001,342,50.120000000000005
2022,1,21,15,30,-11.8,454,48.33
2022,1,21,16,30,-10.4,511,47.93
2022,1,21,17,30,-9.4,509,48.64
2022,1,21,18,30,-9,447,50.81
2022,1,21,19,30,-9.5,330,55.32
2022,1,21,20,30,-11.5,176,65.21000000000001
2022,1,21,21,30,-13.8,25,75.69
2022,1,21,22,30,-14.9,0,77.48
2022,1,21,23,30,-15.5,0,78.68
2022,1,22,0,30,-15.9,0,79.18
2022,1,22,1,30,-16.400000000000002,0,80.09
2022,1,22,2,30,-16.8,0,80.13
2022,1,22,3,30,-17.2,0,80.2
2022,1,22,4,30,-17.5,0,79.9
2022,1,22,5,30,-17.8,0,79.82000000000001
2022,1,22,6,30,-18.1,0,79.32000000000001
2022,1,22,7,30,-18.3,0,78.15
2022,1,22,8,30,-18.6,0,78.19
2022,1,22,9,30,-18.8,0,77.18
2022,1,22,10,30,-19,0,76.75
2022,1,22,11,30,-18.900000000000002,0,74.76
2022,1,22,12,30,-17.6,36,66.15
2022,1,22,13,30,-14.8,192,55.35
2022,1,22,14,30,-11.700000000000001,345,50.59
2022,1,22,15,30,-9,458,47.26
2022,1,22,16,30,-6.9,517,43.84
2022,1,22,17,30,-5.9,516,43.480000000000004
2022,1,22,18,30,-5.6000000000000005,453,44.2
2022,1,22,19,30,-6.2,331,47.13
2022,1,22,20,30,-7.7,178,55.300000000000004
2022,1,22,21,30,-9.4,22,51.89
2022,1,22,22,30,-10.9,0,58.86
2022,1,22,23,30,-11.5,0,64.46000000000001
2022,1,23,0,30,-11.3,0,69.03
2022,1,23,1,30,-11,0,72.71000000000001
2022,1,23,2,30,-11.5,0,78.94
2022,1,23,3,30,-12.100000000000001,0,82.62
2022,1,23,4,30,-12.4,0,86.96000000000001
2022,1,23,5,30,-12.5,0,89.96000000000001
2022,1,23,6,30,-12.4,0,90.54
2022,1,23,7,30,-12.200000000000001,0,88.66
2022,1,23,8,30,-11.9,0,85.85000000000001
2022,1,23,9,30,-11.5,0,82.83
2022,1,23,10,30,-11.100000000000001,0,80.57000000000001
2022,1,23,11,30,-10.600000000000001,0,78.37
2022,1,23,12,30,-9.600000000000001,14,74.06
2022,1,23,13,30,-8,59,70.61
2022,1,23,14,30,-5.7,206,66.04
2022,1,23,15,30,-3.6,316,64.17
2022,1,23,16,30,-2.1,418,63.84
2022,1,23,17,30,-1.5,429,64.04
2022,1,23,18,30,-1.6,318,65.09
2022,1,23,19,30,-2.2,235,68.31
2022,1,23,20,30,-3.5,113,77.16
2022,1,23,21,30,-4.7,12,84.53
2022,1,23,22,30,-5.1000000000000005,0,85.13
2022,1,23,23,30,-5.4,0,86.52
2022,1,24,0,30,-5.6000000000000005,0,87.14
2022,1,24,1,30,-5.800000000000001,0,87.85000000000001
2022,1,24,2,30,-6,0,88.31
2022,1,24,3,30,-6.300000000000001,0,88.78
2022,1,24,4,30,-6.9,0,90.13
2022,1,24,5,30,-7.9,0,91.74
2022,1,24,6,30,-9,0,91.67
2022,1,24,7,30,-10,0,89.12
2022,1,24,8,30,-10.9,0,84.86
2022,1,24,9,30,-11.600000000000001,0,80.25
2022,1,24,10,30,-12.3,0,79.26
2022,1,24,11,30,-12.5,0,76.02
2022,1,24,12,30,-11.600000000000001,37,67.43
2022,1,24,13,30,-9.3,192,53.58
